         ;0
X    OX  ;610
O    OX  ;611
 X   OX  ;612
OX   OX  ;613
 O   OX  ;614
XO   OX  ;615
  X  OX  ;616
O X  OX  ;617
OXX  OX  ;618
 OX  OX  ;619
XOX  OX  ;620
OOX  OX  ;621
  O  OX  ;622
X O  OX  ;623
 XO  OX  ;624
XXO  OX  ;625
OXO  OX  ;626
XOO  OX  ;627
   X OX  ;628
O  X OX  ;629
OX X OX  ;630
 O X OX  ;631
XO X OX  ;632
OO X OX  ;633
O XX OX  ;634
 OXX OX  ;635
OOXX OX  ;636
  OX OX  ;637
X OX OX  ;638
O OX OX  ;639
 XOX OX  ;640
OXOX OX  ;641
 OOX OX  ;642
XOOX OX  ;643
   O OX  ;644
X  O OX  ;645
 X O OX  ;646
XX O OX  ;647
OX O OX  ;648
XO O OX  ;649
  XO OX  ;650
X XO OX  ;651
O XO OX  ;652
 XXO OX  ;653
OXXO OX  ;654
 OXO OX  ;655
XOXO OX  ;656
X OO OX  ;657
 XOO OX  ;658
XXOO OX  ;659
    XOX  ;660
O   XOX  ;661
OX  XOX  ;662
 O  XOX  ;663
XO  XOX  ;664
OO  XOX  ;665
O X XOX  ;666
 OX XOX  ;667
OOX XOX  ;668
  O XOX  ;669
X O XOX  ;670
O O XOX  ;671
 XO XOX  ;672
OXO XOX  ;673
 OO XOX  ;674
XOO XOX  ;675
O  XXOX  ;676
 O XXOX  ;677
OO XXOX  ;678
OOXXXOX  ;679
  OXXOX  ;680
O OXXOX  ;681
OXOXXOX  ;682
 OOXXOX  ;683
XOOXXOX  ;684
OOOXXOX  ;685
   OXOX  ;686
X  OXOX  ;687
O  OXOX  ;688
 X OXOX  ;689
OX OXOX  ;690
 O OXOX  ;691
XO OXOX  ;692
  XOXOX  ;693
O XOXOX  ;694
OXXOXOX  ;695
 OXOXOX  ;696
XOXOXOX  ;697
OOXOXOX  ;698
  OOXOX  ;699
X OOXOX  ;700
 XOOXOX  ;701
XXOOXOX  ;702
OXOOXOX  ;703
XOOOXOX  ;704
    OOX  ;705
X   OOX  ;706
 X  OOX  ;707
XX  OOX  ;708
OX  OOX  ;709
XO  OOX  ;710
  X OOX  ;711
X X OOX  ;712
O X OOX  ;713
 XX OOX  ;714
OXX OOX  ;715
 OX OOX  ;716
XOX OOX  ;717
X O OOX  ;718
 XO OOX  ;719
XXO OOX  ;720
   XOOX  ;721
X  XOOX  ;722
O  XOOX  ;723
 X XOOX  ;724
OX XOOX  ;725
 O XOOX  ;726
XO XOOX  ;727
  XXOOX  ;728
O XXOOX  ;729
OXXXOOX  ;730
 OXXOOX  ;731
XOXXOOX  ;732
OOXXOOX  ;733
  OXOOX  ;734
X OXOOX  ;735
 XOXOOX  ;736
XXOXOOX  ;737
OXOXOOX  ;738
XOOXOOX  ;739
X  OOOX  ;740
 X OOOX  ;741
XX OOOX  ;742
  XOOOX  ;743
X XOOOX  ;744
 XXOOOX  ;745
XXXOOOX  ;746
OXXOOOX  ;747
XOXOOOX  ;748
XXOOOOX  ;749
      O  ;750
X     O  ;751
 X    O  ;752
XX    O  ;753
OX    O  ;754
XO    O  ;755
  X   O  ;756
X X   O  ;757
O X   O  ;758
 XX   O  ;759
OXX   O  ;760
 OX   O  ;761
XOX   O  ;762
X O   O  ;763
 XO   O  ;764
XXO   O  ;765
   X  O  ;766
X  X  O  ;767
O  X  O  ;768
 X X  O  ;769
OX X  O  ;770
 O X  O  ;771
XO X  O  ;772
  XX  O  ;773
O XX  O  ;774
OXXX  O  ;775
 OXX  O  ;776
XOXX  O  ;777
OOXX  O  ;778
  OX  O  ;779
X OX  O  ;780
 XOX  O  ;781
XXOX  O  ;782
OXOX  O  ;783
XOOX  O  ;784
X  O  O  ;785
 X O  O  ;786
XX O  O  ;787
  XO  O  ;788
X XO  O  ;789
 XXO  O  ;790
XXXO  O  ;791
OXXO  O  ;792
XOXO  O  ;793
XXOO  O  ;794
    X O  ;795
X   X O  ;796
O   X O  ;797
 X  X O  ;798
OX  X O  ;799
 O  X O  ;800
XO  X O  ;801
  X X O  ;802
O X X O  ;803
OXX X O  ;804
 OX X O  ;805
XOX X O  ;806
OOX X O  ;807
  O X O  ;808
X O X O  ;809
 XO X O  ;810
XXO X O  ;811
OXO X O  ;812
XOO X O  ;813
   XX O  ;814
O  XX O  ;815
OX XX O  ;816
 O XX O  ;817
XO XX O  ;818
OO XX O  ;819
O XXX O  ;820
 OXXX O  ;821
OOXXX O  ;822
  OXX O  ;823
X OXX O  ;824
O OXX O  ;825
 XOXX O  ;826
OXOXX O  ;827
 OOXX O  ;828
XOOXX O  ;829
   OX O  ;830
X  OX O  ;831
 X OX O  ;832
XX OX O  ;833
OX OX O  ;834
XO OX O  ;835
  XOX O  ;836
X XOX O  ;837
O XOX O  ;838
 XXOX O  ;839
OXXOX O  ;840
 OXOX O  ;841
XOXOX O  ;842
X OOX O  ;843
 XOOX O  ;844
XXOOX O  ;845
X   O O  ;846
 X  O O  ;847
XX  O O  ;848
  X O O  ;849
X X O O  ;850
 XX O O  ;851
XXX O O  ;852
OXX O O  ;853
XOX O O  ;854
XXO O O  ;855
   XO O  ;856
X  XO O  ;857
 X XO O  ;858
XX XO O  ;859
OX XO O  ;860
XO XO O  ;861
  XXO O  ;862
X XXO O  ;863
O XXO O  ;864
 XXXO O  ;865
OXXXO O  ;866
 OXXO O  ;867
XOXXO O  ;868
X OXO O  ;869
 XOXO O  ;870
XXOXO O  ;871
XX OO O  ;872
X XOO O  ;873
 XXOO O  ;874
XXXOO O  ;875
     XO  ;876
X    XO  ;877
O    XO  ;878
 X   XO  ;879
OX   XO  ;880
 O   XO  ;881
XO   XO  ;882
  X  XO  ;883
O X  XO  ;884
